,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
87,399106.SZ,20200629,1939.1238,1942.7562,1947.2139,1931.0209,1947.7255,-8.6017,-0.4416,325204253.0,422380488.9
88,399106.SZ,20200624,1947.7255,1950.2242,1956.1373,1940.5317,1947.4476,0.2779,0.0143,318732822.0,431711052.2
89,399106.SZ,20200623,1947.4476,1937.6452,1948.1461,1928.0128,1936.6467,10.8009,0.5577,347381202.0,452938431.5
90,399106.SZ,20200622,1936.6467,1934.5348,1944.3007,1930.0746,1931.1029,5.5438,0.2871,375418584.0,482506118.2
91,399106.SZ,20200619,1931.1029,1909.6061,1935.3633,1908.6922,1908.3303,22.7726,1.1933,359285018.0,459763594.9
92,399106.SZ,20200618,1908.3303,1902.214,1910.6335,1895.7703,1903.7667,4.5636,0.2397,379111989.0,469207113.1
93,399106.SZ,20200617,1903.7667,1901.9015,1903.7667,1888.7555,1898.3464,5.4203,0.2855,382760432.0,460845245.8
94,399106.SZ,20200616,1898.3464,1882.1642,1898.3464,1879.7602,1865.3427,33.0037,1.7693,358969342.0,441475121.0
95,399106.SZ,20200615,1865.3427,1870.3415,1889.6419,1865.3427,1870.7007,-5.358,-0.2864,389226931.0,466148529.7
96,399106.SZ,20200612,1870.7007,1828.2582,1878.9547,1825.3809,1865.2999,5.4008,0.2895,354659283.0,424917326.4
97,399106.SZ,20200611,1865.2999,1875.8704,1890.6314,1855.6801,1874.9442,-9.6443,-0.5144,356854713.0,431948867.3
98,399106.SZ,20200610,1874.9442,1869.9723,1875.3582,1861.4993,1869.3287,5.6155,0.3004,319350339.0,371135639.9
99,399106.SZ,20200609,1869.3287,1860.0056,1870.4557,1852.5016,1856.8851,12.4436,0.6701,329979840.0,368898852.5
100,399106.SZ,20200608,1856.8851,1867.9596,1874.6143,1854.0649,1856.6056,0.2795,0.0151,357209054.0,409673934.6
101,399106.SZ,20200605,1856.6056,1854.7252,1858.1835,1843.3744,1852.536,4.0696,0.2197,342494966.0,378386585.3
102,399106.SZ,20200604,1852.536,1852.2132,1855.3229,1842.4328,1847.377,5.159,0.2793,358812109.0,396325337.6
103,399106.SZ,20200603,1847.377,1852.1075,1861.355,1846.1713,1846.6574,0.7196,0.039,418994913.0,477363377.9
104,399106.SZ,20200602,1846.6574,1849.6491,1851.6617,1838.2607,1842.9453,3.7121,0.2014,419510303.0,477710155.3
105,399106.SZ,20200601,1842.9453,1799.7062,1844.8226,1799.7062,1786.5055,56.4398,3.1592,390282215.0,454170074.6
106,399106.SZ,20200529,1786.5055,1764.5197,1789.0305,1760.4852,1769.6998,16.8057,0.9496,294922962.0,338498582.3
107,399106.SZ,20200528,1769.6998,1774.6087,1780.659,1745.3429,1774.2177,-4.5179,-0.2546,297057868.0,339058020.7
108,399106.SZ,20200527,1774.2177,1791.7288,1791.7288,1769.9088,1789.5232,-15.3055,-0.8553,293429897.0,345256176.6
109,399106.SZ,20200526,1789.5232,1759.3667,1789.5232,1758.4864,1750.8237,38.6995,2.2104,270864207.0,322629338.2
110,399106.SZ,20200525,1750.8237,1750.8265,1756.5777,1741.582,1752.4165,-1.5928,-0.0909,241587532.0,288513613.8
111,399106.SZ,20200522,1752.4165,1786.6576,1786.6576,1744.2025,1788.6356,-36.2191,-2.025,299718973.0,347490133.2
112,399106.SZ,20200521,1788.6356,1812.472,1813.905,1784.8796,1805.8574,-17.2218,-0.9537,321249943.0,375610196.3
113,399106.SZ,20200520,1805.8574,1824.1837,1824.1837,1800.1786,1823.572,-17.7146,-0.9714,345397378.0,417524221.2
114,399106.SZ,20200519,1823.572,1815.2992,1823.572,1810.4752,1800.8396,22.7324,1.2623,310113850.0,385245479.7
115,399106.SZ,20200518,1800.8396,1810.2068,1816.3574,1792.4989,1808.5635,-7.7239,-0.4271,362078882.0,442713632.7
116,399106.SZ,20200515,1808.5635,1814.407,1819.6714,1801.3425,1805.6962,2.8673,0.1588,317144619.0,380063225.0
117,399106.SZ,20200514,1805.6962,1815.3764,1819.7866,1804.9647,1822.8519,-17.1557,-0.9411,325040790.0,372773922.2
118,399106.SZ,20200513,1822.8519,1805.2948,1825.2407,1801.3729,1810.7346,12.1173,0.6692,298836840.0,357566915.9
119,399106.SZ,20200512,1810.7346,1804.9584,1810.8371,1787.1281,1804.7388,5.9958,0.3322,309285831.0,360877809.6
120,399106.SZ,20200511,1804.7388,1816.986,1822.4319,1794.139,1809.1687,-4.4299,-0.2449,349327539.0,412801067.0
121,399106.SZ,20200508,1809.1687,1796.8246,1816.309,1794.4946,1788.2139,20.9548,1.1718,354347890.0,410902382.0
122,399106.SZ,20200507,1788.2139,1792.7033,1798.3932,1783.7046,1790.2789,-2.065,-0.1153,345878890.0,398621132.8
123,399106.SZ,20200506,1790.2789,1747.1459,1790.2789,1745.9518,1763.3623,26.9166,1.5264,350163179.0,417220851.9
124,399106.SZ,20200430,1763.3623,1739.8063,1767.8989,1739.8063,1730.7422,32.6201,1.8847,348102531.0,401656708.7
125,399106.SZ,20200429,1730.7422,1726.1304,1745.3567,1723.2871,1732.5612,-1.819,-0.105,290231988.0,310081884.0
126,399106.SZ,20200428,1732.5612,1739.9429,1741.7244,1681.4937,1738.0453,-5.4841,-0.3155,384691529.0,403372452.6
127,399106.SZ,20200427,1738.0453,1740.2205,1751.9772,1726.8667,1736.9286,1.1167,0.0643,320369787.0,331351587.7
128,399106.SZ,20200424,1736.9286,1762.2702,1763.1182,1731.4051,1763.0253,-26.0967,-1.4802,372911395.0,381097203.0
129,399106.SZ,20200423,1763.0253,1777.2429,1778.6374,1762.2071,1771.7985,-8.7732,-0.4952,382809728.0,407896394.0
130,399106.SZ,20200422,1771.7985,1739.8357,1771.7985,1736.9008,1753.4175,18.381,1.0483,344848570.0,373179059.5
131,399106.SZ,20200421,1753.4175,1760.9141,1760.9141,1734.7349,1767.863,-14.4455,-0.8171,359333291.0,400623067.9
132,399106.SZ,20200420,1767.863,1753.3025,1767.863,1748.8308,1750.2798,17.5832,1.0046,340156237.0,383529246.1
133,399106.SZ,20200417,1750.2798,1757.1855,1765.8183,1747.1862,1744.3907,5.8891,0.3376,401492379.0,460267368.5
134,399106.SZ,20200416,1744.3907,1726.1714,1747.3104,1723.4716,1736.1337,8.257,0.4756,348703809.0,372555755.3
135,399106.SZ,20200415,1736.1337,1745.0508,1753.1158,1734.2935,1745.4184,-9.2847,-0.5319,379199306.0,409439234.9
136,399106.SZ,20200414,1745.4184,1718.491,1745.4184,1715.1371,1707.459,37.9594,2.2232,329838757.0,365721826.4
137,399106.SZ,20200413,1707.459,1708.5048,1717.7086,1697.8427,1721.2176,-13.7586,-0.7994,298034337.0,314914999.7
138,399106.SZ,20200410,1721.2176,1753.5831,1756.3994,1715.7633,1755.371,-34.1534,-1.9457,394773436.0,425685347.6
139,399106.SZ,20200409,1755.371,1749.8005,1759.1583,1744.0926,1740.6484,14.7226,0.8458,377418831.0,405778525.2
140,399106.SZ,20200408,1740.6484,1735.4283,1746.6454,1732.1583,1743.3727,-2.7243,-0.1563,396877234.0,420856344.1
141,399106.SZ,20200407,1743.3727,1720.1821,1744.6286,1718.3231,1689.5721,53.8006,3.1843,401858318.0,445455425.3
142,399106.SZ,20200403,1689.5721,1694.6214,1705.2053,1682.3052,1697.5546,-7.9825,-0.4702,320031270.0,358276718.5
143,399106.SZ,20200402,1697.5546,1652.7284,1697.5546,1650.3012,1660.0778,37.4768,2.2575,328200761.0,364617023.2
144,399106.SZ,20200401,1660.0778,1664.7157,1687.7167,1657.0732,1665.9257,-5.8479,-0.351,333079525.0,359216781.5
145,399106.SZ,20200331,1665.9257,1672.8972,1679.669,1660.7633,1657.5471,8.3786,0.5055,315348323.0,337468972.4
146,399106.SZ,20200330,1657.5471,1667.8737,1670.4065,1640.143,1693.347,-35.7999,-2.1142,356631369.0,382440662.6
147,399106.SZ,20200327,1693.347,1722.3946,1724.4775,1692.323,1701.1515,-7.8045,-0.4588,345009875.0,380281699.8
148,399106.SZ,20200326,1701.1515,1702.3441,1720.2872,1694.3706,1714.8564,-13.7049,-0.7992,372992274.0,394186890.2
149,399106.SZ,20200325,1714.8564,1703.9092,1716.2367,1694.9338,1666.2217,48.6347,2.9189,416839381.0,458152117.8
150,399106.SZ,20200324,1666.2217,1664.051,1669.8713,1617.9883,1631.8767,34.345,2.1046,398359284.0,433528584.9
151,399106.SZ,20200323,1631.8767,1655.7689,1673.4943,1626.8325,1704.4623,-72.5856,-4.2586,388114615.0,418985613.2
152,399106.SZ,20200320,1704.4623,1702.9495,1707.0659,1675.4423,1682.9296,21.5327,1.2795,380046974.0,435458534.9
153,399106.SZ,20200319,1682.9296,1676.8507,1692.1555,1634.1137,1678.2484,4.6812,0.2789,432237748.0,491949299.3
154,399106.SZ,20200318,1678.2484,1720.5275,1750.6058,1678.2484,1704.7359,-26.4875,-1.5538,452580805.0,518373879.3
155,399106.SZ,20200317,1704.7359,1724.5806,1742.0958,1648.9956,1712.0172,-7.2813,-0.4253,449164287.0,495073156.4
156,399106.SZ,20200316,1712.0172,1809.1696,1809.904,1706.389,1798.9847,-86.9675,-4.8343,520482615.0,587677958.0
157,399106.SZ,20200313,1798.9847,1724.3585,1817.0216,1724.3585,1818.5572,-19.5725,-1.0763,529004537.0,573701912.3
158,399106.SZ,20200312,1818.5572,1831.7695,1839.7758,1802.1214,1859.3958,-40.8386,-2.1963,465707946.0,509406994.3
159,399106.SZ,20200311,1859.3958,1892.877,1897.6518,1859.2517,1887.3397,-27.9439,-1.4806,529580219.0,594063173.4
160,399106.SZ,20200310,1887.3397,1821.5809,1887.3886,1805.2934,1842.6621,44.6776,2.4246,581355154.0,656502529.5
161,399106.SZ,20200309,1842.6621,1883.3533,1891.548,1842.2261,1915.1663,-72.5042,-3.7858,584734799.0,648077340.3
162,399106.SZ,20200306,1915.1663,1904.9726,1927.7125,1902.6367,1929.436,-14.2697,-0.7396,538856740.0,580104347.9
163,399106.SZ,20200305,1929.436,1919.9694,1932.9864,1903.3105,1895.7393,33.6967,1.7775,593054204.0,689195542.3
